x,measured,theory
0.00,-0.0106,0.0000
0.25,0.2188,0.2398
0.50,0.4594,0.4504
0.75,0.5950,0.6206
1.00,0.7447,0.7426
1.25,0.8037,0.8117
1.50,0.8004,0.8270
1.75,0.7911,0.7907
2.00,0.6804,0.7082
2.25,0.5833,0.5873
2.50,0.4120,0.4379
2.75,0.2461,0.2706
3.00,0.0925,0.0970
3.25,-0.0525,-0.0721
3.50,-0.2491,-0.2265
3.75,-0.3743,-0.3577
4.00,-0.4514,-0.4590
4.25,-0.4993,-0.5261
4.50,-0.5524,-0.5570
4.75,-0.5581,-0.5519
5.00,-0.4847,-0.5133
5.25,-0.4728,-0.4456
5.50,-0.3333,-0.3548
5.75,-0.2603,-0.2477
6.00,-0.1533,-0.1320
6.25,-0.0381,-0.0152
6.50,0.0840,0.0955
6.75,0.2125,0.1936
7.00,0.2547,0.2739
7.25,0.3375,0.3326
7.50,0.3757,0.3673
7.75,0.3699,0.3775
8.00,0.3668,0.3640
8.25,0.3027,0.3290
8.50,0.2495,0.2759
8.75,0.1916,0.2093
9.00,0.1446,0.1338
9.25,0.0504,0.0547
9.50,-0.0341,-0.0229
9.75,-0.0893,-0.0944
10.00,-0.1587,-0.1559
10.25,-0.2160,-0.2040
10.50,-0.2191,-0.2368
10.75,-0.2411,-0.2530
11.00,-0.2682,-0.2528
11.25,-0.2327,-0.2372
11.50,-0.2064,-0.2079
11.75,-0.1452,-0.1677
12.00,-0.1060,-0.1197
12.25,-0.0800,-0.0673
12.50,0.0149,-0.0139
12.75,0.0142,0.0371
13.00,0.0778,0.0827
13.25,0.1360,0.1205
13.50,0.1278,0.1487
13.75,0.1654,0.1660
14.00,0.1445,0.1721
14.25,0.1774,0.1674
14.50,0.1685,0.1526
14.75,0.1338,0.1294
